,English Word,Encrypted Text (Binary),Decrypted Text (Binary),Decrypted Text (Alphabet),Initial State, Polynomial
146,Wren,00000110101011010100001101111000,01010111011100100110010101101110,Wren,5432,10101
147,Emu,000101001011001001010011,010001010110110101110101,Emu,5432,10101
148,Hammerhead shark,00011001101111100100101101111011110001101100110000100100010010000010011000011000101110000010100111100110100110000100001011011110,01001000011000010110110101101101011001010111001001101000011001010110000101100100001000000111001101101000011000010111001001101011,Hammerhead shark,5432,10101
149,cherry,001100101011011101000011011001001101000111000111,011000110110100001100101011100100111001001111001,cherry,5432,10101
150,Donkey,000101011011000001001000011111011100011011000111,010001000110111101101110011010110110010101111001,Donkey,5432,10101
151,figure,001101111011011001000001011000111101000111011011,011001100110100101100111011101010111001001100101,figure,5432,10101
152,Wagtail,00000110101111100100000101100010110000101101011100100000,01010111011000010110011101110100011000010110100101101100,Wagtail,5432,10101
153,arugula,00110000101011010101001101110001110101101101001000101101,01100001011100100111010101100111011101010110110001100001,arugula,5432,10101
154,chayote,00110010101101110100011101101111110011001100101000101001,01100011011010000110000101111001011011110111010001100101,chayote,5432,10101
155,Moorhen,00011100101100000100100101100100110010111101101100100010,01001101011011110110111101110010011010000110010101101110,Moorhen,5432,10101
156,sweetpotato,0010001010101000010000110111001111010111110011100010001101011001001001100000100011110111,0111001101110111011001010110010101110100011100000110111101110100011000010111010001101111,sweetpotato,5432,10101
157,Shearwater,00000010101101110100001101110111110100011100100100101101010110010010001000001110,01010011011010000110010101100001011100100111011101100001011101000110010101110010,Shearwater,5432,10101
158,Magpie,000111001011111001000001011001101100101011011011,010011010110000101100111011100000110100101100101,Magpie,5432,10101
159,Shoveler,0000001010110111010010010110000011000110110100100010100101011111,0101001101101000011011110111011001100101011011000110010101110010,Shoveler,5432,10101
160,parsnip,00100001101111100101010001100101110011011101011100111100,01110000011000010111001001110011011011100110100101110000,parsnip,5432,10101
161,broccoli,0011001110101101010010010111010111000000110100010010000001000100,0110001001110010011011110110001101100011011011110110110001101001,broccoli,5432,10101
162,monkey,001111001011000001001000011111011100011011000111,011011010110111101101110011010110110010101111001,monkey,5432,10101
163,beach,0011001110111010010001110111010111001011,0110001001100101011000010110001101101000,beach,5432,10101
164,chair,0011001010110111010001110111111111010001,0110001101101000011000010110100101110010,chair,5432,10101
165,Alligator,000100001011001101001010011111111100010011011111001110000100001000110101,010000010110110001101100011010010110011101100001011101000110111101110010,Alligator,5432,10101
166,garden,001101101011111001010100011100101100011011010000,011001110110000101110010011001000110010101101110,garden,5432,10101
167,Turtle,000001011010101001010100011000101100111111011011,010101000111010101110010011101000110110001100101,Turtle,5432,10101
168,Grebe,0001011010101101010000110111010011000110,0100011101110010011001010110001001100101,Grebe,5432,10101
169,Dolphin,00010101101100000100101001100110110010111101011100100010,01000100011011110110110001110000011010000110100101101110,Dolphin,5432,10101
170,Gorilla,00010110101100000101010001111111110011111101001000101101,01000111011011110111001001101001011011000110110001100001,Gorilla,5432,10101
171,Dodo,00010101101100000100001001111001,01000100011011110110010001101111,Dodo,5432,10101
172,horseradish,0011100110110000010101000110010111000110110011000010110101001001001011100000111111110000,0110100001101111011100100111001101100101011100100110000101100100011010010111001101101000,horseradish,5432,10101
173,kitten,001110101011011001010010011000101100011011010000,011010110110100101110100011101000110010101101110,kitten,5432,10101
174,radish,001000111011111001000010011111111101000011010110,011100100110000101100100011010010111001101101000,radish,5432,10101
175,Cat,000100101011111001010010,010000110110000101110100,Cat,5432,10101
176,pencil,001000011011101001001000011101011100101011010010,011100000110010101101110011000110110100101101100,pencil,5432,10101
177,environment,0011010010110001010100000111111111010001110100010010001001000000001000100001001011101100,0110010101101110011101100110100101110010011011110110111001101101011001010110111001110100,environment,5432,10101
178,Orangutan,000111101010110101000111011110001100010011001011001110000100110000101001,010011110111001001100001011011100110011101110101011101000110000101101110,Orangutan,5432,10101
179,Sparrow,00000010101011110100011101100100110100011101000100111011,01010011011100000110000101110010011100100110111101110111,Sparrow,5432,10101
180,escarole,0011010010101100010001010111011111010001110100010010000001001000,0110010101110011011000110110000101110010011011110110110001100101,escarole,5432,10101
181,Snake,0000001010110001010001110111110111000110,0101001101101110011000010110101101100101,Snake,5432,10101
182,school,001000101011110001001110011110011100110011010010,011100110110001101101000011011110110111101101100,school,5432,10101
183,Coot,00010010101100000100100101100010,01000011011011110110111101110100,Coot,5432,10101
184,kale,00111010101111100100101001110011,01101011011000010110110001100101,kale,5432,10101
185,Mammoth,00011100101111100100101101111011110011001100101000100100,01001101011000010110110101101101011011110111010001101000,Mammoth,5432,10101
186,Falcon,000101111011111001001010011101011100110011010000,010001100110000101101100011000110110111101101110,Falcon,5432,10101
187,silver,001000101011011001001010011000001100011011001100,011100110110100101101100011101100110010101110010,silver,5432,10101
188,eagle,0011010010111110010000010111101011000110,0110010101100001011001110110110001100101,eagle,5432,10101
189,Eel,000101001011101001001010,010001010110010101101100,Eel,5432,10101
190,Snipe,0000001010110001010011110110011011000110,0101001101101110011010010111000001100101,Snipe,5432,10101
191,pineapple,001000011011011001001000011100111100001011001110001111000100000100100010,011100000110100101101110011001010110000101110000011100000110110001100101,pineapple,5432,10101
192,Wigeon,000001101011011001000001011100111100110011010000,010101110110100101100111011001010110111101101110,Wigeon,5432,10101
193,Spoonbill,000000101010111101001001011110011100110111011100001001010100000100101011,010100110111000001101111011011110110111001100010011010010110110001101100,Spoonbill,5432,10101
194,onion,0011111010110001010011110111100111001101,0110111101101110011010010110111101101110,onion,5432,10101
195,Frog,00010111101011010100100101110001,01000110011100100110111101100111,Frog,5432,10101
196,Swift,0000001010101000010011110111000011010111,0101001101110111011010010110011001110100,Swift,5432,10101
197,Shelduck,0000001010110111010000110111101011000111110010110010111101000110,0101001101101000011001010110110001100100011101010110001101101011,Shelduck,5432,10101
198,zipper,001010111011011001010110011001101100011011001100,011110100110100101110000011100000110010101110010,zipper,5432,10101
199,Murrelet,0001110010101010010101000110010011000110110100100010100101011001,0100110101110101011100100111001001100101011011000110010101110100,Murrelet,5432,10101
200,Cockatoo,0001001010110000010001010111110111000010110010100010001101000010,0100001101101111011000110110101101100001011101000110111101101111,Cockatoo,5432,10101
201,endive,001101001011000101000010011111111101010111011011,011001010110111001100100011010010111011001100101,endive,5432,10101
202,Lion,00011101101101100100100101111000,01001100011010010110111101101110,Lion,5432,10101
203,Anhinga,00010000101100010100111001111111110011011101100100101101,01000001011011100110100001101001011011100110011101100001,Anhinga,5432,10101
204,Macaw,0001110010111110010001010111011111010100,0100110101100001011000110110000101110111,Macaw,5432,10101
205,face,00110111101111100100010101110011,01100110011000010110001101100101,face,5432,10101
206,dandelion,001101011011111001001000011100101100011011010010001001010100001000101001,011001000110000101101110011001000110010101101100011010010110111101101110,dandelion,5432,10101
207,Cheetah,00010010101101110100001101110011110101111101111100100100,01000011011010000110010101100101011101000110000101101000,Cheetah,5432,10101
208,beans,0011001110111010010001110111100011010000,0110001001100101011000010110111001110011,beans,5432,10101
209,Grouse,000101101010110101001001011000111101000011011011,010001110111001001101111011101010111001101100101,Grouse,5432,10101
210,Osprey,000111101010110001010110011001001100011011000111,010011110111001101110000011100100110010101111001,Osprey,5432,10101
211,Wolf,00000110101100000100101001110000,01010111011011110110110001100110,Wolf,5432,10101
212,camera,001100101011111001001011011100111101000111011111,011000110110000101101101011001010111001001100001,camera,5432,10101
213,Rook,00000011101100000100100101111101,01010010011011110110111101101011,Rook,5432,10101
214,Chihuahua,000100101011011101001111011111101101011011011111001001000101100000100110,010000110110100001101001011010000111010101100001011010000111010101100001,Chihuahua,5432,10101
215,favabeans,001101111011111001010000011101111100000111011011001011010100001100110100,011001100110000101110110011000010110001001100101011000010110111001110011,favabeans,5432,10101
